cwe,relationship,target_cwe
CWE-522: Insufficiently Protected Credentials,MemberOf,CWE-1013: Encrypt Data
CWE-523: Unprotected Transport of Credentials,ChildOf,CWE-522: Insufficiently Protected Credentials
CWE-523: Unprotected Transport of Credentials,CanAlsoBe,CWE-312: Cleartext Storage of Sensitive Information
CWE-523: Unprotected Transport of Credentials,MemberOf,CWE-255: Credentials Management Errors
CWE-523: Unprotected Transport of Credentials,MemberOf,CWE-1013: Encrypt Data
CWE-524: Use of Cache Containing Sensitive Information,ChildOf,CWE-668: Exposure of Resource to Wrong Sphere
CWE-524: Use of Cache Containing Sensitive Information,ParentOf,CWE-525: Use of Web Browser Cache Containing Sensitive Information
CWE-524: Use of Cache Containing Sensitive Information,MemberOf,CWE-199: Information Management Errors
CWE-525: Use of Web Browser Cache Containing Sensitive Information,ChildOf,CWE-524: Use of Cache Containing Sensitive Information
CWE-526: Cleartext Storage of Sensitive Information in an Environment Variable,ChildOf,CWE-312: Cleartext Storage of Sensitive Information
CWE-526: Cleartext Storage of Sensitive Information in an Environment Variable,PeerOf,CWE-214: Invocation of Process Using Visible Sensitive Information
CWE-527: Exposure of Version-Control Repository to an Unauthorized Control Sphere,ChildOf,CWE-552: Files or Directories Accessible to External Parties
CWE-527: Exposure of Version-Control Repository to an Unauthorized Control Sphere,MemberOf,CWE-1011: Authorize Actors
CWE-528: Exposure of Core Dump File to an Unauthorized Control Sphere,ChildOf,CWE-552: Files or Directories Accessible to External Parties
CWE-528: Exposure of Core Dump File to an Unauthorized Control Sphere,MemberOf,CWE-1011: Authorize Actors
CWE-529: Exposure of Access Control List Files to an Unauthorized Control Sphere,ChildOf,CWE-552: Files or Directories Accessible to External Parties
CWE-529: Exposure of Access Control List Files to an Unauthorized Control Sphere,MemberOf,CWE-1011: Authorize Actors
CWE-530: Exposure of Backup File to an Unauthorized Control Sphere,ChildOf,CWE-552: Files or Directories Accessible to External Parties
CWE-530: Exposure of Backup File to an Unauthorized Control Sphere,MemberOf,CWE-1011: Authorize Actors
CWE-531: Inclusion of Sensitive Information in Test Code,ChildOf,CWE-540: Inclusion of Sensitive Information in Source Code
CWE-532: Insertion of Sensitive Information into Log File,ChildOf,CWE-538: Insertion of Sensitive Information into Externally-Accessible File or Directory
CWE-532: Insertion of Sensitive Information into Log File,ChildOf,CWE-200: Exposure of Sensitive Information to an Unauthorized Actor
CWE-532: Insertion of Sensitive Information into Log File,MemberOf,CWE-1009: Audit
CWE-535: Exposure of Information Through Shell Error Message,ChildOf,CWE-211: Externally-Generated Error Message Containing Sensitive Information
CWE-536: Servlet Runtime Error Message Containing Sensitive Information,ChildOf,CWE-211: Externally-Generated Error Message Containing Sensitive Information
CWE-537: Java Runtime Error Message Containing Sensitive Information,ChildOf,CWE-211: Externally-Generated Error Message Containing Sensitive Information
CWE-538: Insertion of Sensitive Information into Externally-Accessible File or Directory,ChildOf,CWE-200: Exposure of Sensitive Information to an Unauthorized Actor
CWE-538: Insertion of Sensitive Information into Externally-Accessible File or Directory,ParentOf,CWE-532: Insertion of Sensitive Information into Log File
CWE-538: Insertion of Sensitive Information into Externally-Accessible File or Directory,ParentOf,CWE-540: Inclusion of Sensitive Information in Source Code
CWE-538: Insertion of Sensitive Information into Externally-Accessible File or Directory,ParentOf,CWE-651: Exposure of WSDL File Containing Sensitive Information
CWE-538: Insertion of Sensitive Information into Externally-Accessible File or Directory,MemberOf,CWE-199: Information Management Errors
CWE-538: Insertion of Sensitive Information into Externally-Accessible File or Directory,MemberOf,CWE-1011: Authorize Actors
CWE-539: Use of Persistent Cookies Containing Sensitive Information,ChildOf,CWE-552: Files or Directories Accessible to External Parties
CWE-540: Inclusion of Sensitive Information in Source Code,ChildOf,CWE-538: Insertion of Sensitive Information into Externally-Accessible File or Directory
CWE-540: Inclusion of Sensitive Information in Source Code,ParentOf,CWE-531: Inclusion of Sensitive Information in Test Code
CWE-540: Inclusion of Sensitive Information in Source Code,ParentOf,CWE-541: Inclusion of Sensitive Information in an Include File
CWE-540: Inclusion of Sensitive Information in Source Code,ParentOf,CWE-615: Inclusion of Sensitive Information in Source Code Comments
CWE-541: Inclusion of Sensitive Information in an Include File,ChildOf,CWE-540: Inclusion of Sensitive Information in Source Code
CWE-543: Use of Singleton Pattern Without Synchronization in a Multithreaded Context,ChildOf,CWE-820: Missing Synchronization
CWE-543: Use of Singleton Pattern Without Synchronization in a Multithreaded Context,ChildOf,CWE-662: Improper Synchronization
CWE-543: Use of Singleton Pattern Without Synchronization in a Multithreaded Context,ChildOf,CWE-662: Improper Synchronization
CWE-544: Missing Standardized Error Handling Mechanism,ChildOf,CWE-755: Improper Handling of Exceptional Conditions
CWE-544: Missing Standardized Error Handling Mechanism,MemberOf,"CWE-389: Error Conditions, Return Values, Status Codes"
CWE-544: Missing Standardized Error Handling Mechanism,MemberOf,CWE-1012: Cross Cutting
CWE-546: Suspicious Comment,ChildOf,CWE-1078: Inappropriate Source Code Style or Formatting
CWE-546: Suspicious Comment,PeerOf,CWE-615: Inclusion of Sensitive Information in Source Code Comments
"CWE-547: Use of Hard-coded, Security-relevant Constants",ChildOf,CWE-1078: Inappropriate Source Code Style or Formatting
"CWE-547: Use of Hard-coded, Security-relevant Constants",MemberOf,CWE-1006: Bad Coding Practices
CWE-548: Exposure of Information Through Directory Listing,ChildOf,CWE-497: Exposure of Sensitive System Information to an Unauthorized Control Sphere
CWE-549: Missing Password Field Masking,ChildOf,CWE-522: Insufficiently Protected Credentials
CWE-549: Missing Password Field Masking,MemberOf,CWE-255: Credentials Management Errors
CWE-549: Missing Password Field Masking,MemberOf,CWE-355: User Interface Security Issues
CWE-550: Server-generated Error Message Containing Sensitive Information,ChildOf,CWE-209: Generation of Error Message Containing Sensitive Information
CWE-550: Server-generated Error Message Containing Sensitive Information,MemberOf,CWE-1016: Limit Exposure
CWE-551: Incorrect Behavior Order: Authorization Before Parsing and Canonicalization,ChildOf,CWE-696: Incorrect Behavior Order
CWE-551: Incorrect Behavior Order: Authorization Before Parsing and Canonicalization,ChildOf,CWE-863: Incorrect Authorization
CWE-551: Incorrect Behavior Order: Authorization Before Parsing and Canonicalization,MemberOf,CWE-1212: Authorization Errors
CWE-551: Incorrect Behavior Order: Authorization Before Parsing and Canonicalization,MemberOf,CWE-438: Behavioral Problems
CWE-551: Incorrect Behavior Order: Authorization Before Parsing and Canonicalization,MemberOf,CWE-1011: Authorize Actors
CWE-552: Files or Directories Accessible to External Parties,ChildOf,CWE-285: Improper Authorization
CWE-552: Files or Directories Accessible to External Parties,ChildOf,CWE-668: Exposure of Resource to Wrong Sphere
CWE-552: Files or Directories Accessible to External Parties,ParentOf,CWE-219: Storage of File with Sensitive Data Under Web Root
CWE-552: Files or Directories Accessible to External Parties,ParentOf,CWE-220: Storage of File With Sensitive Data Under FTP Root
CWE-552: Files or Directories Accessible to External Parties,ParentOf,CWE-527: Exposure of Version-Control Repository to an Unauthorized Control Sphere
CWE-552: Files or Directories Accessible to External Parties,ParentOf,CWE-528: Exposure of Core Dump File to an Unauthorized Control Sphere
CWE-552: Files or Directories Accessible to External Parties,ParentOf,CWE-529: Exposure of Access Control List Files to an Unauthorized Control Sphere
CWE-552: Files or Directories Accessible to External Parties,ParentOf,CWE-530: Exposure of Backup File to an Unauthorized Control Sphere
CWE-552: Files or Directories Accessible to External Parties,ParentOf,CWE-539: Use of Persistent Cookies Containing Sensitive Information
CWE-552: Files or Directories Accessible to External Parties,ParentOf,CWE-553: Command Shell in Externally Accessible Directory
CWE-552: Files or Directories Accessible to External Parties,MemberOf,CWE-1212: Authorization Errors
CWE-552: Files or Directories Accessible to External Parties,ChildOf,CWE-668: Exposure of Resource to Wrong Sphere
CWE-552: Files or Directories Accessible to External Parties,MemberOf,CWE-1011: Authorize Actors
CWE-553: Command Shell in Externally Accessible Directory,ChildOf,CWE-552: Files or Directories Accessible to External Parties
CWE-554: ASP.NET Misconfiguration: Not Using Input Validation Framework,ChildOf,CWE-1173: Improper Use of Validation Framework
CWE-555: J2EE Misconfiguration: Plaintext Password in Configuration File,ChildOf,CWE-260: Password in Configuration File
CWE-556: ASP.NET Misconfiguration: Use of Identity Impersonation,ChildOf,CWE-266: Incorrect Privilege Assignment
CWE-558: Use of getlogin() in Multithreaded Application,ChildOf,CWE-663: Use of a Non-reentrant Function in a Concurrent Context
CWE-560: Use of umask() with chmod-style Argument,ChildOf,CWE-687: Function Call With Incorrectly Specified Argument Value
CWE-561: Dead Code,ChildOf,CWE-1164: Irrelevant Code
CWE-561: Dead Code,CanFollow,CWE-570: Expression is Always False
CWE-561: Dead Code,CanFollow,CWE-571: Expression is Always True
CWE-561: Dead Code,MemberOf,CWE-1006: Bad Coding Practices
CWE-562: Return of Stack Variable Address,ChildOf,"CWE-758: Reliance on Undefined, Unspecified, or Implementation-Defined Behavior"
CWE-562: Return of Stack Variable Address,CanPrecede,CWE-672: Operation on a Resource after Expiration or Release
CWE-562: Return of Stack Variable Address,CanPrecede,CWE-825: Expired Pointer Dereference
CWE-562: Return of Stack Variable Address,MemberOf,CWE-1006: Bad Coding Practices
CWE-563: Assignment to Variable without Use,ChildOf,CWE-1164: Irrelevant Code
CWE-563: Assignment to Variable without Use,MemberOf,CWE-1006: Bad Coding Practices
CWE-564: SQL Injection: Hibernate,ChildOf,CWE-89: Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection')
CWE-564: SQL Injection: Hibernate,ChildOf,CWE-89: Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection')
CWE-564: SQL Injection: Hibernate,ChildOf,CWE-89: Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection')
CWE-565: Reliance on Cookies without Validation and Integrity Checking,ChildOf,CWE-602: Client-Side Enforcement of Server-Side Security
CWE-565: Reliance on Cookies without Validation and Integrity Checking,ChildOf,CWE-642: External Control of Critical State Data
CWE-565: Reliance on Cookies without Validation and Integrity Checking,ParentOf,CWE-784: Reliance on Cookies without Validation and Integrity Checking in a Security Decision
CWE-565: Reliance on Cookies without Validation and Integrity Checking,MemberOf,CWE-1214: Data Integrity Issues
CWE-565: Reliance on Cookies without Validation and Integrity Checking,ChildOf,CWE-669: Incorrect Resource Transfer Between Spheres
CWE-565: Reliance on Cookies without Validation and Integrity Checking,MemberOf,CWE-1020: Verify Message Integrity
CWE-566: Authorization Bypass Through User-Controlled SQL Primary Key,ChildOf,CWE-639: Authorization Bypass Through User-Controlled Key
CWE-566: Authorization Bypass Through User-Controlled SQL Primary Key,MemberOf,CWE-1011: Authorize Actors
CWE-567: Unsynchronized Access to Shared Data in a Multithreaded Context,ChildOf,CWE-820: Missing Synchronization
CWE-567: Unsynchronized Access to Shared Data in a Multithreaded Context,CanPrecede,CWE-488: Exposure of Data Element to Wrong Session
CWE-567: Unsynchronized Access to Shared Data in a Multithreaded Context,ChildOf,CWE-662: Improper Synchronization
CWE-567: Unsynchronized Access to Shared Data in a Multithreaded Context,ChildOf,CWE-662: Improper Synchronization
CWE-568: finalize() Method Without super.finalize(),ChildOf,CWE-573: Improper Following of Specification by Caller
CWE-568: finalize() Method Without super.finalize(),ChildOf,CWE-459: Incomplete Cleanup
CWE-570: Expression is Always False,ChildOf,CWE-710: Improper Adherence to Coding Standards
CWE-570: Expression is Always False,CanPrecede,CWE-561: Dead Code
CWE-570: Expression is Always False,MemberOf,CWE-569: Expression Issues
CWE-571: Expression is Always True,ChildOf,CWE-710: Improper Adherence to Coding Standards
CWE-571: Expression is Always True,CanPrecede,CWE-561: Dead Code
CWE-571: Expression is Always True,MemberOf,CWE-569: Expression Issues
CWE-572: Call to Thread run() instead of start(),ChildOf,CWE-821: Incorrect Synchronization
CWE-573: Improper Following of Specification by Caller,ChildOf,CWE-710: Improper Adherence to Coding Standards
CWE-573: Improper Following of Specification by Caller,ParentOf,CWE-103: Struts: Incomplete validate() Method Definition
CWE-573: Improper Following of Specification by Caller,ParentOf,CWE-104: Struts: Form Bean Does Not Extend Validation Class
CWE-573: Improper Following of Specification by Caller,ParentOf,CWE-243: Creation of chroot Jail Without Changing Working Directory
CWE-573: Improper Following of Specification by Caller,ParentOf,CWE-253: Incorrect Check of Function Return Value
CWE-573: Improper Following of Specification by Caller,ParentOf,CWE-296: Improper Following of a Certificate's Chain of Trust
CWE-573: Improper Following of Specification by Caller,ParentOf,CWE-304: Missing Critical Step in Authentication
CWE-573: Improper Following of Specification by Caller,ParentOf,CWE-325: Missing Cryptographic Step
CWE-573: Improper Following of Specification by Caller,ParentOf,CWE-329: Generation of Predictable IV with CBC Mode
CWE-573: Improper Following of Specification by Caller,ParentOf,CWE-358: Improperly Implemented Security Check for Standard
CWE-573: Improper Following of Specification by Caller,ParentOf,CWE-475: Undefined Behavior for Input to API
CWE-573: Improper Following of Specification by Caller,ParentOf,CWE-568: finalize() Method Without super.finalize()
CWE-573: Improper Following of Specification by Caller,ParentOf,CWE-577: EJB Bad Practices: Use of Sockets
CWE-573: Improper Following of Specification by Caller,ParentOf,CWE-578: EJB Bad Practices: Use of Class Loader
CWE-573: Improper Following of Specification by Caller,ParentOf,CWE-579: J2EE Bad Practices: Non-serializable Object Stored in Session
CWE-573: Improper Following of Specification by Caller,ParentOf,CWE-580: clone() Method Without super.clone()
CWE-573: Improper Following of Specification by Caller,ParentOf,CWE-581: Object Model Violation: Just One of Equals and Hashcode Defined
CWE-573: Improper Following of Specification by Caller,ParentOf,CWE-628: Function Call with Incorrectly Specified Arguments
CWE-573: Improper Following of Specification by Caller,ParentOf,CWE-675: Multiple Operations on Resource in Single-Operation Context
CWE-573: Improper Following of Specification by Caller,ParentOf,CWE-694: Use of Multiple Resources with Duplicate Identifier
CWE-573: Improper Following of Specification by Caller,ParentOf,CWE-695: Use of Low-Level Functionality
CWE-574: EJB Bad Practices: Use of Synchronization Primitives,ChildOf,CWE-695: Use of Low-Level Functionality
CWE-574: EJB Bad Practices: Use of Synchronization Primitives,ChildOf,CWE-821: Incorrect Synchronization
CWE-575: EJB Bad Practices: Use of AWT Swing,ChildOf,CWE-695: Use of Low-Level Functionality
CWE-576: EJB Bad Practices: Use of Java I/O,ChildOf,CWE-695: Use of Low-Level Functionality
CWE-577: EJB Bad Practices: Use of Sockets,ChildOf,CWE-573: Improper Following of Specification by Caller
CWE-578: EJB Bad Practices: Use of Class Loader,ChildOf,CWE-573: Improper Following of Specification by Caller
CWE-579: J2EE Bad Practices: Non-serializable Object Stored in Session,ChildOf,CWE-573: Improper Following of Specification by Caller
CWE-579: J2EE Bad Practices: Non-serializable Object Stored in Session,MemberOf,CWE-1018: Manage User Sessions
CWE-580: clone() Method Without super.clone(),ChildOf,CWE-573: Improper Following of Specification by Caller
CWE-580: clone() Method Without super.clone(),ChildOf,CWE-664: Improper Control of a Resource Through its Lifetime
CWE-580: clone() Method Without super.clone(),MemberOf,CWE-265: Privilege Issues
CWE-581: Object Model Violation: Just One of Equals and Hashcode Defined,ChildOf,CWE-697: Incorrect Comparison
CWE-581: Object Model Violation: Just One of Equals and Hashcode Defined,ChildOf,CWE-573: Improper Following of Specification by Caller
CWE-581: Object Model Violation: Just One of Equals and Hashcode Defined,MemberOf,CWE-1006: Bad Coding Practices
"CWE-582: Array Declared Public, Final, and Static",ChildOf,CWE-668: Exposure of Resource to Wrong Sphere
CWE-583: finalize() Method Declared Public,ChildOf,CWE-668: Exposure of Resource to Wrong Sphere
CWE-584: Return Inside Finally Block,ChildOf,CWE-705: Incorrect Control Flow Scoping
CWE-584: Return Inside Finally Block,MemberOf,"CWE-389: Error Conditions, Return Values, Status Codes"
CWE-585: Empty Synchronized Block,ChildOf,CWE-1071: Empty Code Block
CWE-586: Explicit Call to Finalize(),ChildOf,CWE-1076: Insufficient Adherence to Expected Conventions
CWE-586: Explicit Call to Finalize(),PeerOf,CWE-675: Multiple Operations on Resource in Single-Operation Context
CWE-586: Explicit Call to Finalize(),MemberOf,CWE-1006: Bad Coding Practices
CWE-587: Assignment of a Fixed Address to a Pointer,ChildOf,CWE-344: Use of Invariant Value in Dynamically Changing Context
CWE-587: Assignment of a Fixed Address to a Pointer,ChildOf,"CWE-758: Reliance on Undefined, Unspecified, or Implementation-Defined Behavior"
CWE-587: Assignment of a Fixed Address to a Pointer,MemberOf,CWE-465: Pointer Issues
CWE-588: Attempt to Access Child of a Non-structure Pointer,ChildOf,"CWE-758: Reliance on Undefined, Unspecified, or Implementation-Defined Behavior"
CWE-588: Attempt to Access Child of a Non-structure Pointer,ChildOf,CWE-704: Incorrect Type Conversion or Cast
CWE-589: Call to Non-ubiquitous API,ChildOf,CWE-474: Use of Function with Inconsistent Implementations
CWE-590: Free of Memory not on the Heap,ChildOf,CWE-762: Mismatched Memory Management Routines
CWE-590: Free of Memory not on the Heap,CanPrecede,CWE-123: Write-what-where Condition
CWE-591: Sensitive Data Storage in Improperly Locked Memory,ChildOf,CWE-413: Improper Resource Locking
CWE-593: Authentication Bypass: OpenSSL CTX Object Modified after SSL Objects are Created,ChildOf,CWE-1390: Weak Authentication
CWE-593: Authentication Bypass: OpenSSL CTX Object Modified after SSL Objects are Created,ChildOf,CWE-666: Operation on Resource in Wrong Phase of Lifetime
CWE-593: Authentication Bypass: OpenSSL CTX Object Modified after SSL Objects are Created,MemberOf,CWE-1010: Authenticate Actors
CWE-594: J2EE Framework: Saving Unserializable Objects to Disk,ChildOf,CWE-1076: Insufficient Adherence to Expected Conventions
CWE-595: Comparison of Object References Instead of Object Contents,ChildOf,CWE-1025: Comparison Using Wrong Factors
CWE-595: Comparison of Object References Instead of Object Contents,ParentOf,CWE-597: Use of Wrong Operator in String Comparison
CWE-595: Comparison of Object References Instead of Object Contents,ParentOf,CWE-597: Use of Wrong Operator in String Comparison
CWE-595: Comparison of Object References Instead of Object Contents,ParentOf,CWE-1097: Persistent Storable Data Element without Associated Comparison Control Element
CWE-597: Use of Wrong Operator in String Comparison,ChildOf,CWE-480: Use of Incorrect Operator
CWE-597: Use of Wrong Operator in String Comparison,ChildOf,CWE-595: Comparison of Object References Instead of Object Contents
CWE-597: Use of Wrong Operator in String Comparison,ChildOf,CWE-595: Comparison of Object References Instead of Object Contents
CWE-598: Use of GET Request Method With Sensitive Query Strings,ChildOf,CWE-201: Insertion of Sensitive Information Into Sent Data
CWE-599: Missing Validation of OpenSSL Certificate,ChildOf,CWE-295: Improper Certificate Validation
CWE-599: Missing Validation of OpenSSL Certificate,MemberOf,CWE-1014: Identify Actors
CWE-600: Uncaught Exception in Servlet ,ChildOf,CWE-248: Uncaught Exception
CWE-600: Uncaught Exception in Servlet ,PeerOf,CWE-390: Detection of Error Condition Without Action
CWE-600: Uncaught Exception in Servlet ,CanPrecede,CWE-209: Generation of Error Message Containing Sensitive Information
CWE-601: URL Redirection to Untrusted Site ('Open Redirect'),ChildOf,CWE-610: Externally Controlled Reference to a Resource in Another Sphere
CWE-601: URL Redirection to Untrusted Site ('Open Redirect'),MemberOf,CWE-19: Data Processing Errors
CWE-601: URL Redirection to Untrusted Site ('Open Redirect'),ChildOf,CWE-610: Externally Controlled Reference to a Resource in Another Sphere
CWE-601: URL Redirection to Untrusted Site ('Open Redirect'),MemberOf,CWE-1019: Validate Inputs
CWE-602: Client-Side Enforcement of Server-Side Security,ChildOf,CWE-693: Protection Mechanism Failure
CWE-602: Client-Side Enforcement of Server-Side Security,ParentOf,CWE-565: Reliance on Cookies without Validation and Integrity Checking
CWE-602: Client-Side Enforcement of Server-Side Security,ParentOf,CWE-603: Use of Client-Side Authentication
CWE-602: Client-Side Enforcement of Server-Side Security,PeerOf,CWE-290: Authentication Bypass by Spoofing
CWE-602: Client-Side Enforcement of Server-Side Security,PeerOf,CWE-300: Channel Accessible by Non-Endpoint
CWE-602: Client-Side Enforcement of Server-Side Security,PeerOf,CWE-836: Use of Password Hash Instead of Password for Authentication
CWE-602: Client-Side Enforcement of Server-Side Security,CanPrecede,CWE-471: Modification of Assumed-Immutable Data (MAID)
CWE-602: Client-Side Enforcement of Server-Side Security,MemberOf,CWE-1012: Cross Cutting
CWE-603: Use of Client-Side Authentication,ChildOf,CWE-602: Client-Side Enforcement of Server-Side Security
CWE-603: Use of Client-Side Authentication,ChildOf,CWE-1390: Weak Authentication
CWE-603: Use of Client-Side Authentication,PeerOf,CWE-300: Channel Accessible by Non-Endpoint
CWE-603: Use of Client-Side Authentication,PeerOf,CWE-656: Reliance on Security Through Obscurity
CWE-603: Use of Client-Side Authentication,MemberOf,CWE-1211: Authentication Errors
CWE-603: Use of Client-Side Authentication,MemberOf,CWE-1010: Authenticate Actors
CWE-605: Multiple Binds to the Same Port,ChildOf,CWE-666: Operation on Resource in Wrong Phase of Lifetime
CWE-605: Multiple Binds to the Same Port,ChildOf,CWE-675: Multiple Operations on Resource in Single-Operation Context
CWE-605: Multiple Binds to the Same Port,MemberOf,CWE-1006: Bad Coding Practices
CWE-606: Unchecked Input for Loop Condition,ChildOf,CWE-1284: Improper Validation of Specified Quantity in Input
CWE-606: Unchecked Input for Loop Condition,CanPrecede,CWE-834: Excessive Iteration
CWE-606: Unchecked Input for Loop Condition,MemberOf,CWE-1215: Data Validation Issues
CWE-607: Public Static Final Field References Mutable Object,ChildOf,CWE-471: Modification of Assumed-Immutable Data (MAID)
CWE-608: Struts: Non-private Field in ActionForm Class,ChildOf,CWE-668: Exposure of Resource to Wrong Sphere
CWE-609: Double-Checked Locking,ChildOf,CWE-667: Improper Locking
CWE-609: Double-Checked Locking,CanPrecede,CWE-367: Time-of-check Time-of-use (TOCTOU) Race Condition
CWE-609: Double-Checked Locking,MemberOf,CWE-411: Resource Locking Problems
CWE-610: Externally Controlled Reference to a Resource in Another Sphere,ChildOf,CWE-664: Improper Control of a Resource Through its Lifetime
CWE-610: Externally Controlled Reference to a Resource in Another Sphere,ParentOf,CWE-15: External Control of System or Configuration Setting
CWE-610: Externally Controlled Reference to a Resource in Another Sphere,ParentOf,CWE-73: External Control of File Name or Path
CWE-610: Externally Controlled Reference to a Resource in Another Sphere,ParentOf,CWE-384: Session Fixation
CWE-610: Externally Controlled Reference to a Resource in Another Sphere,ParentOf,CWE-441: Unintended Proxy or Intermediary ('Confused Deputy')
CWE-610: Externally Controlled Reference to a Resource in Another Sphere,ParentOf,CWE-470: Use of Externally-Controlled Input to Select Classes or Code ('Unsafe Reflection')
CWE-610: Externally Controlled Reference to a Resource in Another Sphere,ParentOf,CWE-601: URL Redirection to Untrusted Site ('Open Redirect')
CWE-610: Externally Controlled Reference to a Resource in Another Sphere,ParentOf,CWE-611: Improper Restriction of XML External Entity Reference
CWE-610: Externally Controlled Reference to a Resource in Another Sphere,PeerOf,CWE-386: Symbolic Name not Mapping to Correct Object
CWE-610: Externally Controlled Reference to a Resource in Another Sphere,MemberOf,CWE-1003: Weaknesses for Simplified Mapping of Published Vulnerabilities
CWE-610: Externally Controlled Reference to a Resource in Another Sphere,ParentOf,CWE-384: Session Fixation
CWE-610: Externally Controlled Reference to a Resource in Another Sphere,ParentOf,CWE-601: URL Redirection to Untrusted Site ('Open Redirect')
CWE-610: Externally Controlled Reference to a Resource in Another Sphere,ParentOf,CWE-611: Improper Restriction of XML External Entity Reference
CWE-610: Externally Controlled Reference to a Resource in Another Sphere,ParentOf,CWE-918: Server-Side Request Forgery (SSRF)
CWE-610: Externally Controlled Reference to a Resource in Another Sphere,ParentOf,CWE-1021: Improper Restriction of Rendered UI Layers or Frames
CWE-610: Externally Controlled Reference to a Resource in Another Sphere,MemberOf,CWE-1015: Limit Access
CWE-611: Improper Restriction of XML External Entity Reference,ChildOf,CWE-610: Externally Controlled Reference to a Resource in Another Sphere
CWE-611: Improper Restriction of XML External Entity Reference,PeerOf,CWE-441: Unintended Proxy or Intermediary ('Confused Deputy')
CWE-611: Improper Restriction of XML External Entity Reference,MemberOf,CWE-19: Data Processing Errors
CWE-611: Improper Restriction of XML External Entity Reference,ChildOf,CWE-610: Externally Controlled Reference to a Resource in Another Sphere
CWE-611: Improper Restriction of XML External Entity Reference,MemberOf,CWE-1015: Limit Access
CWE-612: Improper Authorization of Index Containing Sensitive Information,ChildOf,CWE-1230: Exposure of Sensitive Information Through Metadata
CWE-613: Insufficient Session Expiration,ChildOf,CWE-672: Operation on a Resource after Expiration or Release
CWE-613: Insufficient Session Expiration,CanPrecede,CWE-287: Improper Authentication
CWE-613: Insufficient Session Expiration,MemberOf,CWE-1217: User Session Errors
CWE-613: Insufficient Session Expiration,ChildOf,CWE-672: Operation on a Resource after Expiration or Release
CWE-613: Insufficient Session Expiration,MemberOf,CWE-1018: Manage User Sessions
CWE-614: Sensitive Cookie in HTTPS Session Without 'Secure' Attribute,ChildOf,CWE-319: Cleartext Transmission of Sensitive Information
CWE-615: Inclusion of Sensitive Information in Source Code Comments,ChildOf,CWE-540: Inclusion of Sensitive Information in Source Code
CWE-615: Inclusion of Sensitive Information in Source Code Comments,PeerOf,CWE-546: Suspicious Comment
CWE-616: Incomplete Identification of Uploaded File Variables (PHP),ChildOf,CWE-345: Insufficient Verification of Data Authenticity
CWE-616: Incomplete Identification of Uploaded File Variables (PHP),PeerOf,CWE-473: PHP External Variable Modification
CWE-617: Reachable Assertion,ChildOf,CWE-670: Always-Incorrect Control Flow Implementation
CWE-617: Reachable Assertion,CanFollow,CWE-193: Off-by-one Error
CWE-617: Reachable Assertion,MemberOf,"CWE-389: Error Conditions, Return Values, Status Codes"
CWE-617: Reachable Assertion,ChildOf,CWE-670: Always-Incorrect Control Flow Implementation
CWE-618: Exposed Unsafe ActiveX Method,ChildOf,CWE-749: Exposed Dangerous Method or Function
CWE-618: Exposed Unsafe ActiveX Method,PeerOf,CWE-623: Unsafe ActiveX Control Marked Safe For Scripting
CWE-618: Exposed Unsafe ActiveX Method,MemberOf,CWE-275: Permission Issues
CWE-619: Dangling Database Cursor ('Cursor Injection'),ChildOf,CWE-402: Transmission of Private Resources into a New Sphere ('Resource Leak')
CWE-619: Dangling Database Cursor ('Cursor Injection'),CanFollow,CWE-404: Improper Resource Shutdown or Release
CWE-619: Dangling Database Cursor ('Cursor Injection'),MemberOf,CWE-399: Resource Management Errors
CWE-620: Unverified Password Change,ChildOf,CWE-1390: Weak Authentication
CWE-620: Unverified Password Change,MemberOf,CWE-255: Credentials Management Errors
CWE-620: Unverified Password Change,MemberOf,CWE-1010: Authenticate Actors
CWE-621: Variable Extraction Error,ChildOf,CWE-914: Improper Control of Dynamically-Identified Variables
CWE-621: Variable Extraction Error,CanPrecede,CWE-471: Modification of Assumed-Immutable Data (MAID)
CWE-622: Improper Validation of Function Hook Arguments,ChildOf,CWE-20: Improper Input Validation
CWE-623: Unsafe ActiveX Control Marked Safe For Scripting,ChildOf,CWE-267: Privilege Defined With Unsafe Actions
CWE-623: Unsafe ActiveX Control Marked Safe For Scripting,PeerOf,CWE-618: Exposed Unsafe ActiveX Method
CWE-624: Executable Regular Expression Error,ChildOf,CWE-77: Improper Neutralization of Special Elements used in a Command ('Command Injection')
CWE-624: Executable Regular Expression Error,MemberOf,CWE-19: Data Processing Errors
CWE-624: Executable Regular Expression Error,ChildOf,CWE-77: Improper Neutralization of Special Elements used in a Command ('Command Injection')
CWE-624: Executable Regular Expression Error,ChildOf,CWE-77: Improper Neutralization of Special Elements used in a Command ('Command Injection')
CWE-625: Permissive Regular Expression,ChildOf,CWE-185: Incorrect Regular Expression
CWE-625: Permissive Regular Expression,ParentOf,CWE-777: Regular Expression without Anchors
CWE-625: Permissive Regular Expression,PeerOf,CWE-183: Permissive List of Allowed Inputs
CWE-625: Permissive Regular Expression,PeerOf,CWE-184: Incomplete List of Disallowed Inputs
CWE-625: Permissive Regular Expression,PeerOf,CWE-187: Partial String Comparison
CWE-625: Permissive Regular Expression,MemberOf,CWE-19: Data Processing Errors
